scriptname,frequency,schedule_time,ETA,scriptpath
walmart_mpi_inventory.py,daily(Mon-Fri),08:30:00,09:30:00,D:\dstdw\Marketplace\walmart_inventory
walmart_mpi_transaction.py,daily(Mon-Fri),08:30:00,09:30:00,D:\dstdw\Marketplace\Walmart_transaction
ah_logility_weekly_wrapper.py,weekly(Mon),03:30:00,04:30:00,D:\dstdw\bi_reports\AH_logility_report
big_wip_data_snapshot_wrapper.py,weekly(Mon),00:30:00,01:30:00,D:\dstdw\bi_reports\big_wip_data_with_size_snapshot
daw_hist_wrapper.py,weekly(Mon),00:40:00,01:40:00,D:\oracle\jesta\vprd\DAW_WKLY
omp_tableau_monday_process_wrapper.py,6hour,NA,NA,D:\dstdw\omp_tableau\monday_process
logility_dev_wrapper.py,6hour,NA,NA,D:\mithil\script_files\logility\6hours
jesta_6hrs_wrapper.py,6hour,NA,NA,D:\oracle\jesta\vprd\bi_reports\6hours
sf_to_jesta_daily_file_check.py,3hour,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vprd
orderstatus_spiapp2_wrapper.py,2hour,NA,NA,D:\dstdw\Jesta\orderstatus\orderstatus_spiapp2
azure_download_files.py,2hour,NA,NA,D:\dstdw\Azure_blob
customer_statement_wrapper.py,hourly,NA,NA,D:\dstdw\bi_reports\customer_statement
jesta_daily_wrapper_inve_audit_size_deta.py,hourly,NA,NA,D:\oracle\jesta\vprd\bi_reports\inve_aud_size_deta
jesta_daily_wrapper_inventory_audit.py,hourly,NA,NA,D:\oracle\jesta\vprd\bi_reports\inventory_audit
sf_to_jesta_merge_wrapper_add_info_data.py,hourly,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vprd\merge_scripts
sf_to_jesta_merge_wrapper_add_info_data_vtst.py,hourly,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vtst\merge_scripts
sod_credit_col_capture.py,30min,NA,NA,D:\dstdw\Jesta\sales_order_detail_credit_hist
orderstatus_header_wrapper.py,30min,NA,NA,D:\dstdw\Jesta\orderstatus\OSH
orderstatus_detail_wrapper.py,30min,NA,NA,D:\dstdw\Jesta\orderstatus\OSD
sf_to_jesta_wrapper.py,30min,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vprd
sf_to_jesta_upd_wrapper.py,30min,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vprd\update_scripts
sf_to_jesta_vtst_wrapper.py,30min,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vtst
sf_to_jesta_upd_vtst_wrapper.py,30min,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vtst\update_scripts
daw_and_open_orders_combined_wrapper.py,30min,NA,NA,D:\oracle\jesta\vprd\open_orders
ompsynch_process_wrapper.py,10min,NA,NA,D:\oracle\ompsynch\ompdev
ompprod_sync_process_wrapper.py,10min,NA,NA,D:\oracle\ompsynch\ompprod
ompsynch_process_wrapper_rsprod.py,10min,NA,NA,D:\oracle\ompsynch\ompdev_rsprod
